Year,Series,Type of Product,Value
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.002
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,1.065
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,0.174
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.425
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,-0.041
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.438
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.008
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,4.976
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.001
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,6.009
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.01089
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.04
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.123
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.479
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,4.10605
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.02005
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,5.78269
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,13.582
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.063
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.104
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.783
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.632
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.127
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.13
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.067
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,11.387
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,4.06306
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.826
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,-0.132
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.46
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.01254
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,3.56649
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.047
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00675
